Player ID,System ,K/D,Time Played( Battle Royale) (days),Kills,Matches,Top Weapon,Top Weapon K/D,Top Weapon Accuracy,Most Accurate Weapon,Most Accurate Weapon K/D,Most Accurate Weapon Accuracy,Percentile
11745,battlenet,6.24,70.2,"34,694",4408,M4A1,1.63,0.23,M13,1.95,0.24,24
1613755,atvi,5.98,59.95,"41,157",4224,M4A1,1.98,0.28,Riot Shield,0.68,3,24
1738,battlenet,4.41,54,"23,433",3254,CR-56 AMAX,1.71,0.22,725,2.19,0.63,24
9811435,atvi,4.85,62.83,38130,4141,M4A1,1.92,0.24,Strela-P,0.14,6.41,24
6878812,atvi,5.7,48.58,23832,2835,M4A1,1.76,0.21,Riot Shield,0.2,2,24
4339156,atvi,5.52,59.13,51685,4168,M4A1,1.96,0.16,725,3.23,0.62,24
1635,battlenet,4.67,58.08,40959,4316,Grau 5.56,1.72,0.22,725,3,0.57,24
7171456,atvi,8.3,51.63,56815,3014,M4A1,1.95,0.24,Combat Knife,0.4,2,24
6587381,atvi,4.37,70,59384,5079,MP5,2.15,0.27,Model 680,2.94,0.72,24
1120,battlenet,8.3,51.63,56815,3014,M4A1,1.95,0.24,Combat Knife,0.4,2,24
11222,battlenet,4.54,78.58,60677,5717,Kilo-141,1.63,0.22,Model 680,35,0.63,24
4396537,xbox,3.21,64.04,32034,4315,HDR,3.5,0.4,VLK Rogue,1.06,0.54,24
1393,battlenet,3.59,73.71,37667,5275,FAL,3.82,0.25,PILA,13,0.92,24
1557,psn,4.97,48.25,32.376,3248,M4A1,2.54,0.21,R9-0,2.97,0.5,24
9977805,atvi,6.09,51.21,39.117,3375,MP5,1.77,0.22,725,2.06,0.6,48
2249,battlenet,6.57,63.58,71082,5247,MP7,1.68,0.24,Model 680,2.52,0.6,24
2082776,atvi,5.2,59.29,46785,4313,M4A1,1.62,0.21,Combat Knife,0.67,6,24
3764629,xbox,5.31,55.79,44419,3971,M4A1,1.93,0.23,Model 680,1.21,0.68,24
21354,battlenet,4.65,53.17,34857,3156,MP5,2.19,0.25,Combat Knife,0.37,1,24
1840,battlenet,5.28,55,46948,4154,MP5,1.7,0.28,Model 680,5.73,0.57,24
5653906,atvi,2.61,52.04,19559,3354,MP5,1.31,0.22,Model 680,10.6,0.53,24
2145,battlenet,4.64,47.75,28947,3141,Combat Knife,0.75,46,Combat Knife,0.75,46,24
9712214,atvi,4.45,56.25,47433,4737,Grau 5.56,1.69,0.28,Model 680 ,2.42,0.7,24
2060077,atvi,6.02,44.21,33041,2865,Grau 5.56,1.28,0.22,725,1.45,0.67,26
1172,battlenet,5.69,50.46,42492,3591,MP7,1.54,0.18,R9-0,117,0.57,36
2732,battlenet,6.42,41.04,33706,2524,MP7,1.62,0.26,725,1.48,0.76,24
21164,battlenet,7.85,58.54,70638,4954,M13,1.2,0.16,Model 680,16.4,0.71,24
2817,xbox,5.47,53.08,45686,3388,M4A1,1.58,0.19,Combat Knife,0.33,1,24
7910437,psn,4.47,46.38,29336,3026,M4A1,1.63,0.29,725,3.97,0.65,24
9503178,atvi,4.96,43.08,19577,2338,M4A1,2.46,0.22,725,1.68,0.73,35
21342,battlenet,3.11,37.71,16444,2301,M4A1,1.29,0.19,725,8.17,0.5,24
1623377,atvi,1.36,40.13,8868,2614,M13,1.74,0.18,725,13,0.51,24
2510909,psn,5.25,49.58,35769,3510,MP5,2.3,0.28,Riot Shield,0.6,6,24
1423,battlenet,3.52,42.04,19447,2813,X16,393,0.34,Rytec AMR,2,1,25
1577,battlenet,3.47,74.88,41606,5518,M4A1,1.48,0.24,Model 680,1.15,0.68,24
8449441,atvi,4.21,46.54,31192,2882,MP5,1.36,0.16,725,1.5,0.72,28
4545980,psn,2.18,63.83,16976,4181,FN Scar 17,1.12,0.24,Mk2 Carbine,2.61,0.5,24
11986,battlenet,5.2,31.54,13542,1658,MP5,1.86,0.25,725,3.42,0.68,24
3582285,psn,4.47,40.46,23523,2503,AK-47,1.55,0.12,PILA,0.17,0.64,41
31662,battlenet,6.23,39.79,21531,2370,X16,274,0.32,VLK Rogue,8,0.54,24
4904918,atvi,5.35,31.92,29666,2768,M4A1,2.65,0.24,Kali Sticks,1.44,2,24
1062991,atvi,5.64,42.42,36254,3183,Grau 5.56,1.67,0.27,Combat Knife,0.81,18,24
3153255,atvi,1.36,41.75,48.654,4077,FR 5.56,373.05,0.39,Kilo-141,77.78,0.52,24
7272093,psn,0.17,33.08,3613,10736,M4A1,0.75,0.21,Grau 5.56,0.93,0.26,48
1355,battlenet,1.11,71.54,23581,7722,MP5,1.11,0.16,Model 680,6.94,0.42,24
2206,battlenet,3.01,86.17,54477,6058,AX-50,8.46,0.34,Model 680,142,0.47,24
11677,psn,2.35,74.25,41228,7237,MP5,1.5,0.24,Model 680,2.03,0.68,24
1169454,atvi,1.69,74.63,29025,8097,AK-47,1.19,0.16,725,1.29,0.63,24
7747605,atvi,2.34,70.58,38242,6456,X16,3.03,0.29,Combat Knife,0.41,12,24
4386491,atvi,0.73,76.96,12554,7387,M4A1,0.88,0.17,725,8.3,0.49,24
